Filename	Document Name	Parties	Agreement Date	Effective Date	Expiration Date	Renewal Term (Days)	Notice Period To Terminate Renewal	Termination For Convenience	Change Of Control	Anti-Assignment	Revenue/Profit Sharing	Ip Ownership Assignment	Joint Ip Ownership	Non-Transferable License	Source Code Escrow	Post-Termination Services	Audit Rights	Uncapped Liability	Cap On Liability	Liquidated Damages	Warranty Duration
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf	"ADDENDUM TO 

ZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT"	"Zebra Technologies International, LLC (""Zebra""), Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.(""Zebra Brazil""), Xplore Technologies Corporation of America (""Xplore""), (Zebra, Zebra Brazil and Explore collectively as ""Zebra""); ScanSource, Inc. (""ScanSource""), ScanSource Latin America, Inc. (""ScanSource Latin America""), ScanSource Brazil Distribuidora de Technologias, Ltda. ""ScanSource Brazil""), SCANSOURCE DE MEXICO S. DE R.L. DE C.V. (""ScanSource Mexico"") ,(""ScanSource"", ""ScanSource Latin America"" , ""ScanSource Brazil"" and ScanSource Mexico collectively ""Distributor"")(""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"")"	2/4/19	2/4/19				No	No	No	No	No	No	No	No	No	No	No	No	No	No
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf	AFFILIATE AGREEMENT	"Link Plus Corporation (""LKPL""); Axiometric, LLC. (""Axiometric"")"	7/15/05	7/15/05	perpetual			Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF	AFFILIATE AGREEMENT	"Gulf South Medical Supply, Inc. (""GSMS""); Physician Sales & Service, Inc. (""PSS""); PSS Merger Corp."	12/14/97					No	No	No	No	No	No	No	No	No	No	No	No	No	No
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf	AFFILIATE OFFICE AGREEMENT	"NETWORK  1 FINANCIAL, INC. (""NETWORK  1""); Payment Data  Systems,  Inc. (""AFFILIATE"")"				365	30	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	No
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf	Affiliate Program / Premium Affiliate Management General Terms and Conditions	"Web site owners (hereafter, ""Affiliates""); Software Publishers; element 5 GmbH and its subsidiaries (together hereafter, ""element 5"") and who wish to make use of the additional service provided by element 5 (hereafter, ""AffiliateManagement"")"			perpetual			Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"The Bon-Ton Stores, Inc. and its associated chapter 11 debtors inpossession (collectively, “Merchant”); GA Retail, Inc. (“GA”); Tiger Capital Group, LLC (“Tiger” and collectively with GA, the “Agent”); Wilmington Savings Fund Society, FSB (the “Notes Trustee” and collectively with Agent, “Purchaser”); Purchaser and Merchant (collectively the “Parties”)"	4/18/18					Yes	No	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	No
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF"	AGENCY AGREEMENT	"Athens Bancshares Corporation (the ""Company""); Athens Federal Community Bank (the ""Bank""); Keefe, bruyette & Woods, Inc. (the ""Agent"")"	1/1/09					No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf	AGENCY AGREEMENT	"Dundee Securities Ltd.(""Lead Agent""); Kes 7 Capital Inc. and Bloom Burton & Co. Ltd. (collectively with the Lead Agent, ""Agents"" and each individually an ""Agent""); Tribute Pharmaceuticals Canada Inc. (""Corporation"")"	5/21/15					No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"(AFSALA  Bancorp,  Inc. (the  ""Company""); Amsterdam Federal Savings and Loan Association (""Association""); Savings Association Insurance Fund (""SAIF""); Federal  Deposit Insurance Corporation (""FDIC""); Capital Resources, Inc. (""Capital Resources""))"	1/1/96					Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"(Alamogordo Financial Corporation (""Company""); AF Mutual Holding Company (""MHC""); Alamogordo Federal Savings and Loan Association (""Bank""); Savings  Association Insurance Fund (""SAIF""); Federal Deposit Insurance Corporation (""FDIC""); Charles Webb & Company; Bruyette & Woods,  Inc. (""Agent""))"	1/1/00	1/1/00				No	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"General Electric Capital Corporation together with its successors and assigns, if any (“Lessor”); Duckwall-Alco Stores, Inc. (the “Company”)"	11/9/05		perpetual			Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"(Greater Delaware Valley Holdings (“PA MHC”); Alliance Mutual Holding Company (“Federal MHC”); Alliance Bancorp, Inc. of Pennsylvania (“Company""); Greater Delaware Valley Savings Bank d/b/a Alliance Bank (“Bank”); Sandler O’Neill & Partners, L.P. (“Sandler O’Neill” or “Agent”))"	1/1/06					No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"Mutual Insurance Corporation of America (MICOA); Stratton, Cheeseman & Walsh-Nevada, Inc. (""Agency""); (sometimes commonly referred to as the Parties)"	5/25/99	5/25/99	Perpetual	365	120	No	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"El Banco Financial Corporation (the ""Company""); sales agent (the ""Agent"" or ""you"")"	1/1/06	1/1/06				No	No	No	Yes	No	No	No	No	No	No	No	No	No	No
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF	AGENCY AGREEMENT	"Biopure Corporation (""Company""); Agent (""Agent"")"	3/29/99	3/29/99	perpetual			Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF"	AGENCY AGREEMENT	"Blue Hills Bancorp, Inc. (“Holding Company”); Hyde Park Bancorp, MHC (“MHC”); Hyde Park Bancorp, Inc. (“Mid­Tier”); Blue Hills Bank (“Bank”); Bruyette & Woods, Inc. (“Agent”)"	5/14/14	5/14/14				No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF"	AGENCY AGREEMENT	"Bluerock Residential Growth REIT, Inc. (“Company”); Bluerock Residential Holdings, L.P. (“Operating Partnership”) (collectively, Company, and Bluerock Residential Growth REIT, Inc. are referred to as the “Transaction Entities”); BRG Manager, LLC (“Manager”); Compass Point Research & Trading, LLC (“Agent”)"	5/25/16	5/25/16				Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.pdf	AGENTS’ CERTIFICATE	"Tribute Pharmaceuticals Inc. (""Corporation""); (""Agent""); (""U.S. Affiliate""); U.S. registered broker-dealer affiliate of the Agent"	1/1/05					No	No	No	No	No	No	No	No	No	No	No	No	No	No
"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF"	AMENDED AND RESTATED REMARKETING AGREEMENT	"Reinsurance Group of America, Incorporated (""Company"", together with the Trust, the ""Issuers""); RGA Capital Trust I (""Trust"", together with the Company, the ""Issuers""); Barclays Capital Inc. (""Barclays"", ""Remarketing Agent"")"	2/15/11		perpetual			No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
"PACIRA PHARMACEUTICALS, INC. - A&R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF"	"AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT"	"PACIRA PHARMACEUTICALS, INC. (""F/K/A SKYEPHARMA, INC."", “PPI”); EKR THERAPEUTICS, INC. (""EKR"")"	10/15/09	8/10/07		720	180	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF	Amended and Restated Unconditional Capital Maintenance Agreement	"American International Group, Inc. (""AIG""); American General Life Insurance Company (""Company"")"	2/18/14	2/18/14	perpetual		30	No	No	No	No	No	No	No	No	No	No	No	No	No	No
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR-.pdf"	AMENDMENT                                      TO THE                               DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                                      NETGEAR	"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")"	10/1/96	10/1/96				No	No	No	No	No	No	No	No	No	No	No	No	No	No
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.pdf"	AMENDMENT #2 TO THE                              DISTRIBUTION AGREEMENT	"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")"	7/15/98					No	No	No	No	No	No	No	No	No	No	No	No	No	No
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF"	Amendment #3 to the Manufacturing Agreemen	"ADMA BioManuFacturing, LLC (""ADMA""); Sanofi Pasteur S.A (""Sanofi Pasteur"")"	12/22/17	12/21/17				No	No	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	No
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.PDF"	"AMENDMENT AND TERMINATION 

OF 

JOINT VENTURE AGREEMENT"	"Veoneer AB (“VeoneerAB”); Veoneer US, Inc. (“Veoneer US"", and together with Veoneer AB, the “Veoneer Parties”); Nissin Kogyo Co., Ltd. (“Nissin”); Nissin Kogyo Holdings USA, Inc. (“NissinHolding”); Zhongshan Nissin Industry Co., Ltd. (“NBZ”, and together with Nissin andNissin Holding, the “Nissin Parties”)"	10/30/19	10/30/19				No	No	No	No	No	No	No	No	No	No	No	No	No	No
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf	Amendment n° 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7	"AZUL LINHAS AÉREAS BRASILEIRAS S/A (""Company"", ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (“Repairer”, “ATR”); AZUL LINHAS AÉREAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E. (individually referred to as the “Party” or collectively as the “Parties”)"	1/6/16	1/6/16				No	No	No	No	No	No	No	No	No	No	No	No	No	No
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.pdf	"AMENDMENT NO. 1

MANUFACTURING AGREEMENT"	"Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")"	6/11/18	6/11/18				No	No	No	No	No	No	No	No	No	No	No	No	No	No
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf	"AMENDMENT NO. 1

Wireless Content License Agreement Number 12965"	"Fox Mobile Entertainment (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")"	11/18/05					No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.pdf	"AMENDMENT NO. 2

Wireless Content License Agreement Number 12965"	"Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")"	3/27/06					No	No	No	Yes	No	No	No	No	No	No	No	No	No	No
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.pdf	"AMENDMENT NO. 2 

MANUFACTURING AGREEMENT"	"Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier""); Heritage and Premier (individually as a “Party” and collectively as the “Parties”)"	10/1/18	10/1/18	12/31/21			No	No	No	No	No	No	No	No	No	No	No	No	No	No
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF"	AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT	"Columbia Laboratories, (Bermuda) Ltd. (""Columbia""); Fleet Laboratories Limited (""Fleet"")"	12/31/17	12/31/17	12/31/24			No	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.pdf	"AMENDMENT NO. 3

 MANUFACTURING AGREEMENT"	"Stremicks Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")"	7/3/19	7/3/19				No	No	No	No	No	No	No	No	No	No	No	No	No	No
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf	"AMENDMENT NO. 3

Wireless Content License Agreement Number 12965"	"Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile Inc. (""Licensee"")"	2/19/07		12/31/06			No	No	No	No	No	No	No	No	No	No	No	No	No	No
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf	AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT	"Cisco Systems, Inc. (""Cisco""); ScanSource, Inc. (""Distributor"")"	8/4/10		1/20/12			No	No	No	No	No	No	No	No	No	No	No	No	No	No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf	"AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT"	"PC Quote, Inc. (""PCQ""); A.B. Watley, Inc. (""ABW"")"	12/9/96	12/9/96				No	No	No	No	No	No	No	No	No	No	No	No	No	No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf	AMENDMENT TO SERVICES AGREEMENT	"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")"	3/30/09	3/30/09				No	No	No	No	No	No	No	No	No	No	No	No	No	No
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf	APPLICATION DEVELOPMENT AGREEMENT	"InfinixSoft Global LLC (""Developer""); Clickstream Corporation (""Client"")"	3/20/20	3/20/20				Yes	No	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF	ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT	"Advantage Telecommunications Ltd.; Cable & Wireless Global Network Limited; Cable & Wireless HKT international Limited; China Telecom; China United Telecommunications Corporation; Chunghwa Telecom Co., Ltd.,; Concert Global Network Services, Ltd.; Global One Communications Network, Inc.; Japan Telecom Co., Ltd.; KDD Corporation; Korea Telecom; KPN Telecom B.V.; Layer 2 Communications Group Ltd.; MCI International Telecommunications. Inc.; Metromedia Fiber Network Services, Inc.; New Century InfoComm Ltd., Preparatory Office; NTT Communications Corporation; Onelink Cable Network Limited; Philippine Long Distance Telephone Company; Singapore Telecommunications Limited; StarHub Pte Ltd; Taiwan Fixed Network Co., Ltd. Preparatory Office; Teleglobe USA Inc.; Telekom Malaysia Berhad (128740-P); Telstra Global Networks Limited; Williams Communications, Inc.,; APT Satellite Telecommunications Limited; Bayan Telecommunications, Inc.; China Netcom Corporation Ltd.; The Communications Authority of Thailand; CTI International Limited; Dacom Corporation; edge2net Inc.; Eastern Telecommunications Philippines, Incorporated; Global Access Ltd.; Globe Telecom, Inc.; GNG Networks. Inc.; GTE Intelligent Network Service Incorporated; PT Indosat (Persero) Tbk; Maxis International Sdn. Bhd; New World Telephone Limited; NTT Com Asia Ltd.;Onse Telecom Corporation; Telia AB (publ); TT dotCom Sdn Bhd; (hereinafter collectively called “Parties” and individually called “Party”)"	4/18/00	4/18/00	4/18/25			Yes	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF"	"ASP and Outsourcing Agreement

Order Form"	"E.PIPHANY, INC. (""E.piphany""); HIGH SPEED NET SOLUTIONS, INC. (""HSNS"")"	7/31/00	7/31/00	7/31/03			No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf	Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX							No	No	No	No	No	No	No	No	No	No	No	No	No	No
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf	BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT	"ARCA U.S. TREASURY FUND (""Fund""); ARCA CAPITAL MANAGEMENT, LLC (""Blockchain Administrator"")"	1/1/20	1/1/20	1/1/22	365		No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF	Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts	"Principal Life Insurance Company (""Issuer"", individually referred to as a “Party” and collectively with Distributor and Broker Dealer as the “Parties”); Princor Financial Services Corporation (""Distributor"", individually referred to as a “Party” and collectively with Issuer and Broker Dealer as the “Parties”); ABC Company and its duly licensed insurance affiliates indicated on the signature page of this   Agreement (collectively “Broker Dealer”, individually referred to as a “Party” and collectively with Issuer and Distributor as the “Parties”)"	1/1/13	1/1/13				Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf	BUSINESS AFFILIATE AGREEMENT	"Dr. George D. Green (""Business Affiliate""); UNION DENTAL CORP. (""UDC"")(""parties"" and singularly as a ""Party"")"	1/28/05	10/15/04	perpetual			Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf	BUSINESS DEVELOPMENT AGREEMENT	"LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")"	1/1/20	1/1/20	1/1/25	365	180	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf	CELEBRITY ENDORSEMENT AGREEMENT	"Bizzingo, Inc (""Bizzingo""); Joseph Theismann (""Theismann"")"	3/14/12	3/1/12	3/1/13	365		Yes	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf	CHANNEL PARTNER RESELLER AGREEMENT	"IPASS INC. (""iPass""); Pareteum Corporation (""Channel Partner"")"	4/25/18	4/25/18	4/25/19	365	60	No	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf	CHARTER AFFILIATE AFFILIATION AGREEMENT	"The TUBE Music Network, Inc. (""Network""); Tribune Broadcasting Company (""Affiliate"")"	3/6/06	3/6/06	3/31/11	1640	180	Yes	No	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf	CHASE AFFILIATE AGREEMENT	"Chase Bank USA, N.A., (""Chase""); You (""Affiliate"")"	4/6/07		perpetual			Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")"	5/22/00	5/22/00	5/22/02	365	60	No	Yes	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”)"	8/22/05	8/22/05	8/22/10	1085	60	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"Snap Technologies, Inc. (""Snap""); United Airlines, Inc. (""Sponsor"")"	6/8/99	6/8/99	12/31/00			No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"VerticalNet, Inc. (""VerticalNet""); Impresse Corporation (""Impresse"")"	3/3/00	3/3/00	6/3/01			No	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
